case_id,cycle_time_minutes
376,1.4e-09
377,1.5e-09
378,7.666666666666667e-10
379,1.2166666666666668e-09
380,1.4e-09
381,1.6666666666666665e-09
382,1.4833333333333334e-09
383,1.4e-09
384,7.333333333333333e-10
385,1.4166666666666665e-09
386,9.833333333333332e-10
387,1.2e-09
388,1.2999999999999999e-09
389,6.666666666666666e-10
390,6.499999999999999e-10
391,9.5e-10
392,1.0833333333333333e-09
393,1.1e-09
394,1.0166666666666667e-09
395,6.833333333333334e-10
396,8.666666666666667e-10
397,3e-10
398,1.25e-09
399,6.333333333333334e-10
400,9.666666666666666e-10
401,6.499999999999999e-10
402,9.5e-10
403,6.833333333333334e-10
404,1.15e-09
405,7.333333333333333e-10
406,7.333333333333333e-10
407,1.0166666666666667e-09
408,1.4833333333333334e-09
409,9.333333333333332e-10
410,1.1333333333333333e-09
411,1.1e-09
412,1.5e-09
413,1.15e-09
414,1.0833333333333333e-09
415,8.333333333333332e-10
416,1.0333333333333333e-09
417,6.833333333333334e-10
418,9.333333333333332e-10
419,9.166666666666667e-10
420,9.333333333333332e-10
421,8e-10
422,7.166666666666667e-10
423,1.0166666666666667e-09
424,1.0166666666666667e-09
425,9.333333333333332e-10
426,5.333333333333334e-10
427,8.833333333333333e-10
428,6.166666666666667e-10
429,1.2666666666666668e-09
430,1.6666666666666665e-09
431,9.666666666666666e-10
432,2.1333333333333334e-09
433,5.166666666666666e-10
434,6.666666666666666e-10
435,6.833333333333334e-10
436,1.5166666666666666e-09
437,1.7833333333333334e-09
438,1.2833333333333335e-09
439,1.1166666666666667e-09
440,6.666666666666666e-10
441,1.2e-09
442,1.9666666666666665e-09
443,1.3833333333333333e-09
444,2.45e-09
445,1.9333333333333333e-09
446,1.1666666666666668e-09
447,9.166666666666667e-10
448,1.7166666666666665e-09
449,1.4666666666666666e-09
450,9.999999999999999e-10
451,1.7e-09
452,1.7e-09
453,8.833333333333333e-10
454,1.9666666666666665e-09
455,2.0833333333333334e-09
456,1.5833333333333334e-09
457,2.116666666666667e-09
458,2.4e-09
459,1.2833333333333335e-09
460,8.333333333333332e-10
461,1.8333333333333334e-09
462,1.1333333333333333e-09
463,1.9833333333333333e-09
464,1.7666666666666666e-09
465,1.9e-09
466,8.666666666666667e-10
467,1.2333333333333334e-09
468,1.1166666666666667e-09
469,2.05e-09
470,1.0833333333333333e-09
471,1.5e-09
472,1.9e-09
473,1.3333333333333333e-09
474,1.4833333333333334e-09
475,1.5833333333333334e-09
476,9.666666666666666e-10
477,1.3499999999999999e-09
478,1.9e-09
479,9.999999999999999e-10
480,1.3499999999999999e-09
481,1.4e-09
482,1.2166666666666668e-09
483,1.2833333333333335e-09
484,1.0166666666666667e-09
485,1.5e-09
486,1.55e-09
487,1.3333333333333333e-09
488,1.45e-09
489,1.15e-09
490,1.25e-09
491,9e-10
492,7.166666666666667e-10
493,1.1166666666666667e-09
494,7.666666666666667e-10
495,7.333333333333333e-10
496,6.666666666666666e-10
497,7.166666666666667e-10
498,1.3166666666666667e-09
499,1.2166666666666668e-09
500,6.333333333333334e-10
501,5.5e-10
502,3.333333333333333e-10
503,4.166666666666666e-10
504,4.666666666666666e-10
505,6e-10
506,8.666666666666667e-10
507,2.8333333333333334e-10
508,3.8333333333333335e-10
509,6.499999999999999e-10
510,7e-10
511,4.3333333333333334e-10
512,4.3333333333333334e-10
513,3.6666666666666664e-10
514,1.0333333333333333e-09
515,6.499999999999999e-10
516,7.666666666666667e-10
517,6.666666666666666e-10
518,2.4999999999999996e-10
519,3e-10
520,9e-10
521,2e-10
522,9.999999999999999e-10
523,6.499999999999999e-10
524,9.166666666666667e-10
525,6.333333333333334e-10
526,5.5e-10
527,4.166666666666666e-10
528,7.666666666666667e-10
529,6.333333333333334e-10
530,9.166666666666667e-10
531,7.833333333333333e-10
532,1.2333333333333334e-09
533,3.166666666666667e-10
534,5.666666666666667e-10
535,5.666666666666667e-10
536,5.5e-10
537,9.166666666666667e-10
538,6.166666666666667e-10
539,3.8333333333333335e-10
540,8e-10
541,8.333333333333332e-10
542,1.2166666666666668e-09
543,7.833333333333333e-10
544,7e-10
545,1.75e-09
546,5.333333333333334e-10
547,6e-10
548,6.166666666666667e-10
549,5.333333333333334e-10
550,9.5e-10
551,3.333333333333333e-10
552,4.833333333333333e-10
553,8e-10
554,8.5e-10
555,1.25e-09
556,1.1e-09
557,8e-10
558,1.1833333333333334e-09
559,1.2833333333333335e-09
560,5.833333333333334e-10
561,8.5e-10
562,1.2666666666666668e-09
563,7.666666666666667e-10
564,8e-10
565,1.0499999999999999e-09
566,6.833333333333334e-10
567,1.0499999999999999e-09
568,1.0333333333333333e-09
569,1.4333333333333333e-09
570,1.2833333333333335e-09
571,1.5666666666666666e-09
572,1.1e-09
573,1.5e-09
574,1.2666666666666668e-09
575,8.333333333333332e-10
576,1.2e-09
577,1.2333333333333334e-09
578,6e-10
579,2.0999999999999998e-09
580,1.0666666666666667e-09
581,9.999999999999999e-10
582,8.833333333333333e-10
583,1.5e-09
584,1.0666666666666667e-09
585,8.166666666666667e-10
586,1.0666666666666667e-09
587,1.1333333333333333e-09
588,1.0833333333333333e-09
589,1.1833333333333334e-09
590,1.3499999999999999e-09
591,1.0333333333333333e-09
592,8.833333333333333e-10
593,1.2666666666666668e-09
594,1.3666666666666667e-09
595,1.25e-09
596,1.0333333333333333e-09
597,1.2166666666666668e-09
598,1.2666666666666668e-09
599,1.2166666666666668e-09
600,1.0666666666666667e-09
601,8.666666666666667e-10
602,1.0333333333333333e-09
603,6.833333333333334e-10
604,7.5e-10
605,9.166666666666667e-10
606,6.833333333333334e-10
607,6.499999999999999e-10
608,5.5e-10
609,8e-10
610,8e-10
611,7e-10
612,5.833333333333334e-10
613,3.6666666666666664e-10
614,7.333333333333333e-10
615,7.333333333333333e-10
616,5.5e-10
617,2.333333333333333e-10
618,6.166666666666667e-10
619,6.666666666666666e-10
620,6.333333333333334e-10
621,1.0666666666666667e-09
622,2.1666666666666667e-10
623,9.666666666666666e-10
624,1.8333333333333332e-10
625,8.833333333333333e-10
626,3.6666666666666664e-10
627,8.333333333333332e-10
628,3.5e-10
629,1.0499999999999999e-09
630,1.0166666666666667e-09
631,8e-10
632,4.3333333333333334e-10
633,5.666666666666667e-10
634,1.1e-09
635,8.833333333333333e-10
636,7.666666666666667e-10
637,8.333333333333332e-10
638,3.166666666666667e-10
639,1.0333333333333333e-09
640,1.0333333333333333e-09
641,1.0499999999999999e-09
642,8.333333333333332e-10
643,1.0833333333333333e-09
644,2.4999999999999996e-10
645,9.5e-10
646,5.5e-10
647,1.1333333333333333e-09
648,9.166666666666667e-10
649,3.8333333333333335e-10
650,7.333333333333333e-10
651,9.333333333333332e-10
652,7e-10
653,5.333333333333334e-10
654,5.833333333333334e-10
655,8e-10
656,1.1833333333333334e-09
657,9.333333333333332e-10
658,8.666666666666667e-10
659,5.166666666666666e-10
660,6.166666666666667e-10
661,7.833333333333333e-10
662,7.166666666666667e-10
663,6.499999999999999e-10
664,1.0499999999999999e-09
665,4.3333333333333334e-10
666,1.5666666666666666e-09
667,4.3333333333333334e-10
668,5.333333333333334e-10
669,4e-10
670,3.5e-10
671,9.666666666666666e-10
672,4e-10
673,1.0166666666666667e-09
674,9.166666666666667e-10
675,6.666666666666666e-10
676,1.15e-09
677,1.0166666666666667e-09
678,1.2999999999999999e-09
679,6.666666666666666e-10
680,7e-10
681,1.5833333333333334e-09
682,1.15e-09
683,1.15e-09
684,6.833333333333334e-10
685,1.1333333333333333e-09
686,1.3166666666666667e-09
687,8.166666666666667e-10
688,7.833333333333333e-10
689,7.666666666666667e-10
690,8.833333333333333e-10
691,1.1e-09
692,8e-10
693,5.333333333333334e-10
694,7.833333333333333e-10
695,8e-10
696,7.5e-10
697,8.666666666666667e-10
698,6.499999999999999e-10
699,6.833333333333334e-10
700,7e-10
701,1.5333333333333334e-09
702,7.666666666666667e-10
703,1.9666666666666665e-09
704,1.55e-09
705,6.833333333333334e-10
706,2.666666666666667e-10
707,1.3666666666666667e-09
708,9.166666666666667e-10
709,7.833333333333333e-10
710,1.1666666666666668e-09
711,1.1333333333333333e-09
712,6.833333333333334e-10
713,1.2999999999999999e-09
714,6.333333333333334e-10
715,1.0166666666666667e-09
716,1.15e-09
717,1.2166666666666668e-09
718,2.1666666666666666e-09
719,1.9833333333333333e-09
720,1.1e-09
721,1.7166666666666665e-09
722,1.2833333333333335e-09
723,1.0333333333333333e-09
724,1.7166666666666665e-09
725,1.9e-09
726,1.8e-09
727,1.9e-09
728,6.666666666666666e-10
729,1.1e-09
730,3.8333333333333335e-10
731,1.6833333333333333e-09
732,1.0166666666666667e-09
733,2.0666666666666666e-09
734,4.833333333333333e-10
735,1.4833333333333334e-09
736,1.3833333333333333e-09
737,7.166666666666667e-10
738,1.4666666666666666e-09
739,1.6666666666666665e-09
740,7.333333333333333e-10
741,1.3333333333333333e-09
742,1.4333333333333333e-09
743,1.85e-09
744,1.5666666666666666e-09
745,1.1666666666666668e-09
746,1.1666666666666668e-09
747,1.2166666666666668e-09
748,1.3833333333333333e-09
749,1.2e-09
750,1.2333333333333334e-09
751,1.4833333333333334e-09
752,1.3666666666666667e-09
753,1.5166666666666666e-09
754,1.3666666666666667e-09
755,1.4666666666666666e-09
756,1.1666666666666668e-09
757,1.7333333333333333e-09
758,1.1e-09
759,1.15e-09
760,1.4833333333333334e-09
761,8.166666666666667e-10
762,7e-10
763,8e-10
764,8.666666666666667e-10
765,9.666666666666666e-10
766,7.5e-10
767,5.333333333333334e-10
768,1.0833333333333333e-09
769,7.166666666666667e-10
770,6.833333333333334e-10
771,4.666666666666666e-10
772,5.833333333333334e-10
773,7e-10
774,7.666666666666667e-10
775,1.3166666666666667e-09
776,1.45e-09
777,1.2333333333333334e-09
778,1.8833333333333332e-09
