case_id,cycle_time_minutes
665,3.3500000000000002e-09
666,2.2666666666666667e-09
667,3.166666666666667e-09
668,5.333333333333334e-10
669,1.2333333333333334e-09
670,1.5333333333333334e-09
671,3.033333333333333e-09
672,3.1166666666666665e-09
673,5.166666666666666e-10
674,3.5166666666666667e-09
675,2.7833333333333334e-09
676,1.3166666666666667e-09
677,1.8333333333333334e-09
678,1.1e-09
679,2.9500000000000004e-09
680,3.4833333333333335e-09
681,1.65e-09
682,1.2333333333333334e-09
683,3.066666666666667e-09
684,2.9666666666666668e-09
685,1.0666666666666667e-09
686,3.166666666666667e-09
687,2.9666666666666668e-09
688,1.5666666666666666e-09
689,1.75e-09
690,1.0666666666666667e-09
691,1.3666666666666667e-09
692,9.666666666666666e-10
693,2.6666666666666666e-09
694,2.8833333333333335e-09
695,1.0499999999999999e-09
696,1.0499999999999999e-09
697,3.2e-09
698,2.2e-09
699,3.9833333333333334e-09
700,3.2166666666666665e-09
701,1.25e-09
702,3.1e-09
703,2.5833333333333333e-09
704,1.5333333333333334e-09
705,1.4666666666666666e-09
706,1.6666666666666665e-09
707,1.8666666666666664e-09
708,2.9166666666666667e-09
709,2.6833333333333334e-09
710,1.8333333333333334e-09
711,1.8833333333333332e-09
712,2.1333333333333334e-09
713,2.4166666666666664e-09
714,2.466666666666667e-09
715,2.1500000000000002e-09
716,2.3e-09
717,1.7333333333333333e-09
718,1.9e-09
719,2.3e-09
720,2.7500000000000002e-09
721,2.566666666666667e-09
722,1.4666666666666666e-09
723,2.8166666666666667e-09
724,1.3499999999999999e-09
725,1.7666666666666666e-09
726,1.6833333333333333e-09
727,1.4166666666666665e-09
728,2.3e-09
729,1.6333333333333335e-09
730,2.4833333333333332e-09
731,2.0666666666666666e-09
732,1.5333333333333334e-09
733,2.25e-09
734,2.566666666666667e-09
735,1.65e-09
736,1.8833333333333332e-09
737,1.7e-09
738,2.2e-09
739,3.1333333333333333e-09
740,2.833333333333333e-09
741,2.2e-09
742,2.1333333333333334e-09
743,2.3666666666666668e-09
744,3.4e-09
745,1.65e-09
746,2.4e-09
747,2.5999999999999997e-09
748,2.5166666666666665e-09
749,2.5999999999999997e-09
750,2.5333333333333337e-09
751,2.4333333333333336e-09
752,2.2e-09
753,2.4e-09
754,1.9833333333333333e-09
755,2.9500000000000004e-09
756,2.3e-09
757,2.6333333333333333e-09
758,2.116666666666667e-09
759,2.3333333333333335e-09
760,2.2e-09
761,1.8166666666666666e-09
762,2.1333333333333334e-09
763,2.3e-09
764,1.8e-09
765,2.383333333333333e-09
766,1.9666666666666665e-09
767,1.9666666666666665e-09
768,2.116666666666667e-09
769,2.016666666666667e-09
770,1.1333333333333333e-09
771,2.2e-09
772,1.9833333333333333e-09
773,2.0666666666666666e-09
774,2.1666666666666666e-09
775,2.1666666666666666e-09
776,1.9333333333333333e-09
777,2.0333333333333333e-09
778,1.75e-09
779,2.2666666666666667e-09
780,2.5999999999999997e-09
781,1.8833333333333332e-09
782,2.1500000000000002e-09
783,1.6833333333333333e-09
784,2.4333333333333336e-09
785,2.5333333333333337e-09
786,1.65e-09
787,2.466666666666667e-09
788,2.4833333333333332e-09
789,1.6e-09
790,2.5833333333333333e-09
791,2.35e-09
792,2.6666666666666666e-09
793,1.4e-09
794,1.3333333333333333e-09
795,2.05e-09
796,1.6166666666666667e-09
797,2.5333333333333337e-09
798,3.15e-09
799,1.0833333333333333e-09
800,1.2e-09
801,2.35e-09
802,2.016666666666667e-09
803,1.8833333333333332e-09
804,2.116666666666667e-09
805,1.8333333333333334e-09
806,1.9833333333333333e-09
807,2.3e-09
808,1.3499999999999999e-09
809,2.05e-09
810,1.2e-09
811,1.15e-09
812,1.6e-09
813,1.4666666666666666e-09
814,2.7166666666666666e-09
815,1.3833333333333333e-09
816,1.7333333333333333e-09
817,1.6666666666666665e-09
818,1.2166666666666668e-09
819,1.1333333333333333e-09
820,1.8333333333333334e-09
821,1.8666666666666664e-09
822,1.4166666666666665e-09
823,1.45e-09
824,1.0166666666666667e-09
825,1.5833333333333334e-09
826,1.8166666666666666e-09
827,1.0499999999999999e-09
828,1.0166666666666667e-09
829,1.2166666666666668e-09
830,1.4166666666666665e-09
831,1.4166666666666665e-09
832,1.3499999999999999e-09
833,1.45e-09
834,1.4833333333333334e-09
835,1.3499999999999999e-09
836,1.8666666666666664e-09
837,1.8166666666666666e-09
838,2.216666666666667e-09
839,1.1166666666666667e-09
840,1.0666666666666667e-09
841,1.7e-09
842,1.5833333333333334e-09
843,1.2333333333333334e-09
844,1.9166666666666665e-09
845,2.7833333333333334e-09
846,1.2833333333333335e-09
847,1.2e-09
848,1.9666666666666665e-09
849,1.55e-09
850,1.5833333333333334e-09
851,2.0999999999999998e-09
852,2.116666666666667e-09
853,1.65e-09
854,1.55e-09
855,1.4666666666666666e-09
856,1.2e-09
857,1.0833333333333333e-09
858,1.9166666666666665e-09
859,1.4e-09
860,1.0666666666666667e-09
861,1.3333333333333333e-09
862,1.1333333333333333e-09
863,9.333333333333332e-10
864,1.2e-09
865,1.1166666666666667e-09
866,1.2833333333333335e-09
867,1.25e-09
868,1.3833333333333333e-09
869,1.5666666666666666e-09
870,1.2166666666666668e-09
871,1.15e-09
872,6.666666666666666e-10
873,9.5e-10
874,1.0833333333333333e-09
875,9.5e-10
876,9.333333333333332e-10
877,7.833333333333333e-10
878,4.666666666666666e-10
879,1.45e-09
880,9.666666666666666e-10
881,7.833333333333333e-10
882,9.833333333333332e-10
883,1.1166666666666667e-09
884,9.333333333333332e-10
885,1.1666666666666668e-09
886,1.3666666666666667e-09
887,6.166666666666667e-10
888,1.45e-09
889,1.1666666666666668e-09
890,1.15e-09
891,8.666666666666667e-10
892,8.166666666666667e-10
893,1.15e-09
894,8.833333333333333e-10
895,7.833333333333333e-10
896,8.666666666666667e-10
897,9.999999999999999e-10
898,7.5e-10
899,7.333333333333333e-10
900,8.666666666666667e-10
901,6.166666666666667e-10
902,9.5e-10
