case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
2024;PACKAGING;PACKAGING_LINE_1;7248.180349993713;3.327244265232366;24.335532702687487;131.5551986709661;5;32;5.778107051178267;experiment;FIFO;0.28;0;variant_10;dedicated;mild_all
2025;INSPECTION_2;INSPECTION_2_2_LINE;7248.535745716991;0.721893824160361;2.7149970921846034;123.82940003932345;7;32;0.2267070252000849;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2025;INSPECTION_2;INSPECTION_2_3_LINE;7248.762452742191;0.2267070252000849;0.2267070252000849;124.05610706452353;8;31;0.0;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2042;INSPECTION_2;INSPECTION_2_2_LINE;7248.852329800075;0.3165840830833986;1.5609499587162645;40.89476938140251;7;31;0.4120951676150071;experiment;FIFO;0.28;0;variant_15;dedicated;mild_all
2046;PACKAGING;PACKAGING_LINE_1;7249.182583437669;1.002233443955447;1.0041389388552489;36.62646215174027;5;31;7.388094734591505;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
2042;INSPECTION_2;INSPECTION_2_3_LINE;7249.26442496769;0.4120951676150071;0.4120951676150071;41.30686454901752;8;30;0.0;experiment;FIFO;0.28;0;variant_15;dedicated;mild_all
2031;ASSEMBLY_2;ASSEMBLY2_LINE_2;7249.689423330751;5.752784587186397;85.02848592406099;89.03754780393865;3;30;42.90908140337797;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2037;INSPECTION_2;INSPECTION_2_1_LINE;7249.847530276149;2.556150434790652;3.32704306843425;59.569748734593304;7;30;4.066193311586176;experiment;FIFO;0.28;0;variant_10;dedicated;mild_all
2024;INSPECTION_2;INSPECTION_2_1_LINE;7250.378931105314;0.5314008291652499;2.1985811116010154;133.7537797825671;6;30;3.579525939577252;experiment;FIFO;0.28;0;variant_10;dedicated;mild_all
2057;ASSEMBLY_1;LINE_2_ASSEMBLY1;7250.398430699423;6.357224115444296;6.357224115444296;6.357224115444296;2;30;95.83827812066738;experiment;FIFO;0.28;0;variant_11;dedicated;mild_all
2027;INSPECTION_1;INSPECTION_1_1_LINE;7250.631944488357;5.778838759875725;5.778838759875725;110.2645227288076;6;30;1.8542389530584842;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2027;INSPECTION_1;INSPECTION_1_2_LINE;7250.691727968496;0.05978348013923096;0.05978348013923096;110.32430620894684;7;30;1.7944554729192532;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2059;MOULDING;MOULDING_MACHINE_5;7250.76322587008;0.7503242578759455;0.0;0.0;1;31;108.26917140632395;experiment;FIFO;0.28;0;variant_8;dedicated;mild_all
2046;INSPECTION_1;INSPECTION_1_1_LINE;7251.170701583456;0.5387570950997542;1.9881181457876664;38.61458029752794;6;31;5.399976588803838;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
2027;INSPECTION_1;INSPECTION_1_2_LINE;7251.190894228976;0.4991662604797966;0.4991662604797966;110.82347246942663;8;31;1.2952892124394566;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2027;INSPECTION_1;INSPECTION_1_3_LINE;7252.486183441415;1.2952892124394566;1.2952892124394566;112.11876168186609;9;30;0.0;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
2046;INSPECTION_1;INSPECTION_1_2_LINE;7252.848646651294;1.657752422318481;1.6779450678377543;40.29252536536569;7;30;3.722031520966084;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
2037;INSPECTION_2;INSPECTION_2_2_LINE;7253.309334540549;3.4618042643996887;3.4618042643996887;63.03155299899299;8;30;0.604389047186487;experiment;FIFO;0.28;0;variant_10;dedicated;mild_all
