case_id,timestamp,activity,resource,status,prefix_index,elapsed_time,remaining_time,case_start_time,case_complete_time,method,l,simulation_run
5165,18679.57076728389,SORTING,SORTING_ROBOT,running,13,72.69193044492931,7.4752790400089,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18680.11660560476,QC_AFTER_SORTING,,gateway,14,73.23776876579723,6.929440719140985,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18680.11660560476,PACKAGING,,queued,15,73.23776876579723,6.929440719140985,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18680.11660560476,PACKAGING,PACKAGING_LINE_1,running,16,73.23776876579723,6.929440719140985,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18687.0460463239,QC_AFTER_PACKAGING,,gateway,17,80.16720948493821,0.0,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18687.0460463239,END,,COMPLETE,18,80.16720948493821,0.0,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5166,18613.140884942582,START,,START,1,0.0,93.86432113158662,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18613.140884942582,MOULDING,,queued,2,0.0,93.86432113158662,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18613.140884942582,MOULDING,MOULDING_MACHINE_4,running,3,0.0,93.86432113158662,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18614.430786111014,QC_AFTER_MOULDING,,gateway,4,1.2899011684312427,92.57441996315538,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18614.430786111014,ROUTE_TO_A1,,gateway,5,1.2899011684312427,92.57441996315538,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18614.430786111014,ASSEMBLY_1_4,,queued,6,1.2899011684312427,92.57441996315538,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18617.40042057232,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,running,7,4.259535629738821,89.6047855018478,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18626.54512148719,QC_AFTER_ASSEMBLY1_4,,gateway,8,13.404236544607556,80.46008458697906,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18626.54512148719,ASSEMBLY_2,,queued,9,13.404236544607556,80.46008458697906,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18642.988350703206,ASSEMBLY_2,ASSEMBLY2_LINE_1,running,10,29.84746576062389,64.01685537096273,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18653.155117414903,QC_AFTER_ASSEMBLY2,,gateway,11,40.014232472320145,53.850088659266476,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18653.155117414903,SORTING,,queued,12,40.014232472320145,53.850088659266476,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18690.350534062218,SORTING,SORTING_ROBOT,running,13,77.20964911963529,16.654672011951334,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18706.083738184032,QC_AFTER_SORTING,,gateway,14,92.94285324144948,0.9214678901371371,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18706.083738184032,PACKAGING,,queued,15,92.94285324144948,0.9214678901371371,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18706.083738184032,PACKAGING,PACKAGING_LINE_1,running,16,92.94285324144948,0.9214678901371371,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18707.00520607417,QC_AFTER_PACKAGING,,gateway,17,93.86432113158662,0.0,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5166,18707.00520607417,END,,COMPLETE,18,93.86432113158662,0.0,18613.140884942582,18707.00520607417,FIFO,0.0155555555555555,0
5167,18615.80968464269,START,,START,1,0.0,96.19998124955237,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18615.80968464269,MOULDING,,queued,2,0.0,96.19998124955237,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18615.80968464269,MOULDING,MOULDING_MACHINE_1,running,3,0.0,96.19998124955237,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18623.47976461552,QC_AFTER_MOULDING,,gateway,4,7.670079972831445,88.52990127672092,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18623.47976461552,ROUTE_TO_A1,,gateway,5,7.670079972831445,88.52990127672092,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18623.47976461552,ASSEMBLY_1_1,,queued,6,7.670079972831445,88.52990127672092,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18623.47976461552,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,running,7,7.670079972831445,88.52990127672092,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18631.76620649633,QC_AFTER_ASSEMBLY1_1,,gateway,8,15.95652185364088,80.24345939591149,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18631.76620649633,ASSEMBLY_2,,queued,9,15.95652185364088,80.24345939591149,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18653.155117414903,ASSEMBLY_2,ASSEMBLY2_LINE_1,running,10,37.345432772213826,58.85454847733854,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18655.350320711248,QC_AFTER_ASSEMBLY2,,gateway,11,39.54063606855925,56.659345180993114,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18655.350320711248,SORTING,,queued,12,39.54063606855925,56.659345180993114,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18706.083738184032,SORTING,SORTING_ROBOT,running,13,90.27405354134316,5.925927708209201,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18710.838608605,QC_AFTER_SORTING,,gateway,14,95.02892396231255,1.1710572872398188,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18710.838608605,PACKAGING,,queued,15,95.02892396231255,1.1710572872398188,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18710.838608605,PACKAGING,PACKAGING_LINE_2,running,16,95.02892396231255,1.1710572872398188,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18712.00966589224,QC_AFTER_PACKAGING,,gateway,17,96.19998124955237,0.0,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5167,18712.00966589224,END,,COMPLETE,18,96.19998124955237,0.0,18615.80968464269,18712.00966589224,FIFO,0.0155555555555555,0
5168,18618.157016097943,START,,START,1,0.0,132.2820169391889,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18618.157016097943,MOULDING,,queued,2,0.0,132.2820169391889,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18618.157016097943,MOULDING,MOULDING_MACHINE_5,running,3,0.0,132.2820169391889,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18626.32965151896,QC_AFTER_MOULDING,,gateway,4,8.17263542101864,124.10938151817027,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18626.32965151896,MOULDING,,queued,5,8.17263542101864,124.10938151817027,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18626.32965151896,MOULDING,MOULDING_MACHINE_3,running,6,8.17263542101864,124.10938151817027,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18630.10041158372,QC_AFTER_MOULDING,,gateway,7,11.943395485777728,120.33862145341118,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18630.10041158372,MOULDING,,queued,8,11.943395485777728,120.33862145341118,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18630.10041158372,MOULDING,MOULDING_MACHINE_3,running,9,11.943395485777728,120.33862145341118,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18651.24564772681,QC_AFTER_MOULDING,,gateway,10,33.088631628867006,99.1933853103219,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18651.24564772681,ROUTE_TO_A1,,gateway,11,33.088631628867006,99.1933853103219,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18651.24564772681,ASSEMBLY_1_3,,queued,12,33.088631628867006,99.1933853103219,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18651.24564772681,ASSEMBLY_1_3,LINE_3_ASSEMBLY1,running,13,33.088631628867006,99.1933853103219,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18659.86469845482,QC_AFTER_ASSEMBLY1_3,,gateway,14,41.70768235687865,90.57433458231026,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18659.86469845482,ASSEMBLY_2,,queued,15,41.70768235687865,90.57433458231026,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18680.330114019376,ASSEMBLY_2,ASSEMBLY2_LINE_1,running,16,62.17309792143351,70.1089190177554,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18694.27236942592,QC_AFTER_ASSEMBLY2,,gateway,17,76.11535332797575,56.16666361121315,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18694.27236942592,SORTING,,queued,18,76.11535332797575,56.16666361121315,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18743.428909580183,SORTING,SORTING_ROBOT,running,19,125.27189348224056,7.0101234569483495,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
5168,18746.994444505755,QC_AFTER_SORTING,,gateway,20,128.8374284078127,3.444588531376212,18618.157016097943,18750.43903303713,FIFO,0.0155555555555555,0
