case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,method,l,simulation_run,process
1098,SORTING,SORTING_ROBOT,3890.905965731472,14.850869329135094,4,33.085730236195104,91.27028505571116,6.671152686831192,17,3799.635680675761,3897.577118418303,FIFO,0.0155555555555555,0,variant_13
1118,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3890.931732087839,1.3193283001919553,3,10.924126768667975,20.496944608367812,38.0647869890372,17,3870.434787479471,3928.996519076876,FIFO,0.0155555555555555,0,variant_3
1121,MOULDING_2,MOULDING_MACHINE_2,3891.287514352892,10.739662429622058,1,0.0,0.0,57.2337664411657,18,3891.287514352892,3948.5212807940575,FIFO,0.0155555555555555,0,variant_12
1117,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3891.402993128047,9.27822099989362,3,12.523528859892394,25.12268757478614,45.98353501457677,18,3866.280305553261,3937.386528142624,FIFO,0.0155555555555555,0,variant_16
1122,ASSEMBLY_1_3,LINE_3_ASSEMBLY1,3891.7393571332746,9.629386236392747,2,9.629386236392747,9.629386236392747,45.360990861575374,18,3882.109970896882,3937.10034799485,FIFO,0.0155555555555555,0,variant_12
1121,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,3892.34017705436,1.0526627014683072,2,1.0526627014683072,1.0526627014683072,56.18110373969739,18,3891.287514352892,3948.5212807940575,FIFO,0.0155555555555555,0,variant_12
1098,PACKAGING_1,PACKAGING_LINE_1,3897.577118418303,6.671152686831192,5,6.671152686831192,97.94143774254235,0.0,17,3799.635680675761,3897.577118418303,FIFO,0.0155555555555555,0,variant_13
1120,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3898.635810447882,23.5114650734281,2,23.5114650734281,23.5114650734281,57.57734391242002,17,3875.1243453744537,3956.213154360302,FIFO,0.0155555555555555,0,variant_13
1125,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,3899.31248927673,10.314755378828067,2,10.314755378828067,10.314755378828067,88.30600260176197,17,3888.997733897902,3987.618491878492,FIFO,0.0155555555555555,0,variant_1
1124,MOULDING_5,MOULDING_MACHINE_5,3900.699472352658,14.1809732481006,1,0.0,0.0,89.99840572328367,18,3900.699472352658,3990.697878075942,FIFO,0.0155555555555555,0,variant_6
1122,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3901.005276553126,9.265919419851343,3,9.265919419851343,18.89530565624409,36.09507144172403,18,3882.109970896882,3937.10034799485,FIFO,0.0155555555555555,0,variant_12
1126,MOULDING_5,MOULDING_MACHINE_5,3901.347603412162,0.648131059503612,1,0.0,0.0,108.02544829076214,19,3901.347603412162,4009.373051702924,FIFO,0.0155555555555555,0,variant_7
1106,PACKAGING_2,PACKAGING_LINE_2,3902.5561036052136,25.47367724735068,6,25.47367724735068,75.18430143468231,0.0,18,3827.3718021705313,3902.5561036052136,FIFO,0.0155555555555555,0,variant_11
1128,MOULDING_5,MOULDING_MACHINE_5,3903.016718955839,0.9168381452341237,1,0.0,0.0,92.4714045975752,19,3903.016718955839,3995.4881235534144,FIFO,0.0155555555555555,0,variant_18
1123,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3903.480376272989,4.844565825107111,2,16.476783137476104,16.476783137476104,80.80854798731116,19,3887.003593135513,3984.2889242603,FIFO,0.0155555555555555,0,variant_4
1107,SORTING,SORTING_ROBOT,3904.47046865019,13.564502918718063,4,36.57126004520205,64.63467119470215,36.492543134710104,19,3839.835797455488,3940.9630117849,FIFO,0.0155555555555555,0,variant_1
1124,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,3904.791293991618,4.0918216389600275,2,4.0918216389600275,4.0918216389600275,85.90658408432364,19,3900.699472352658,3990.697878075942,FIFO,0.0155555555555555,0,variant_6
1113,SORTING,SORTING_ROBOT,3904.864740150575,0.3942715003850026,4,35.29889149209339,49.577855325317614,4.59863948639304,19,3855.2868848252574,3909.463379636968,FIFO,0.0155555555555555,0,variant_3
1114,SORTING,SORTING_ROBOT,3904.94032400138,0.07558385080483276,4,33.91898716800006,41.80102452712799,43.5249402546674,19,3863.139299474252,3948.4652642560472,FIFO,0.0155555555555555,0,variant_7
1110,SORTING,SORTING_ROBOT,3908.468593279468,3.5282692780883735,4,33.406235559492416,61.07869895751719,2.6736750017716986,19,3847.389894321951,3911.14226828124,FIFO,0.0155555555555555,0,variant_1
1129,MOULDING_2,MOULDING_MACHINE_2,3908.496206439821,3.6203658555659786,1,0.0,0.0,51.74378635721723,20,3908.496206439821,3960.239992797038,FIFO,0.0155555555555555,0,variant_8
1113,PACKAGING_3,PACKAGING_LINE_3,3909.463379636968,4.59863948639304,5,4.59863948639304,54.176494811710654,0.0,19,3855.2868848252574,3909.463379636968,FIFO,0.0155555555555555,0,variant_3
1119,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3910.095922840828,18.692929712780824,3,29.497973087553873,33.18710878974662,34.220061561560215,19,3876.908814051081,3944.315984402388,FIFO,0.0155555555555555,0,variant_10
1126,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,3910.4496960993793,5.658402107761049,2,9.102092687217464,9.102092687217464,98.92335560354468,19,3901.347603412162,4009.373051702924,FIFO,0.0155555555555555,0,variant_7
1110,PACKAGING_2,PACKAGING_LINE_2,3911.14226828124,2.6736750017716986,5,2.6736750017716986,63.75237395928889,0.0,18,3847.389894321951,3911.14226828124,FIFO,0.0155555555555555,0,variant_1
1121,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3911.2667348697087,10.261458316582775,3,18.926557815348588,19.979220516816895,37.254545924348804,18,3891.287514352892,3948.5212807940575,FIFO,0.0155555555555555,0,variant_12
1111,SORTING,SORTING_ROBOT,3913.0201753095816,4.551582030113423,4,31.318367807424693,67.09193877324424,1.5618114085273191,18,3845.9282365363374,3914.581986718109,FIFO,0.0155555555555555,0,variant_13
1129,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,3913.612834157447,5.116627717626216,2,5.116627717626216,5.116627717626216,46.627158639591016,18,3908.496206439821,3960.239992797038,FIFO,0.0155555555555555,0,variant_8
1128,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,3914.381008209203,3.9313121098239208,2,11.36428925336395,11.36428925336395,81.10711534421125,18,3903.016718955839,3995.4881235534144,FIFO,0.0155555555555555,0,variant_18
1111,PACKAGING_1,PACKAGING_LINE_1,3914.581986718109,1.5618114085273191,5,1.5618114085273191,68.65375018177156,0.0,17,3845.9282365363374,3914.581986718109,FIFO,0.0155555555555555,0,variant_13
1120,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3915.0272828784255,4.931360037597642,3,16.391472430543672,39.90293750397177,41.18587148187635,17,3875.1243453744537,3956.213154360302,FIFO,0.0155555555555555,0,variant_13
1127,MOULDING_1,MOULDING_MACHINE_1,3915.963270270464,14.93060472777097,1,0.0,0.0,86.79700754007217,18,3915.963270270464,4002.760277810536,FIFO,0.0155555555555555,0,variant_7
1130,MOULDING_1,MOULDING_MACHINE_1,3916.74106737962,0.7777971091559266,1,0.0,0.0,52.74152195111628,19,3916.74106737962,3969.482589330736,FIFO,0.0155555555555555,0,variant_4
1115,SORTING,SORTING_ROBOT,3920.3658662124367,7.34569090285504,4,38.241094084283304,64.16882837199546,3.068799621436483,19,3856.197037840441,3923.434665833873,FIFO,0.0155555555555555,0,variant_1
1131,MOULDING_2,MOULDING_MACHINE_2,3920.528354144233,6.986751446497237,1,0.0,0.0,48.03414201168471,20,3920.528354144233,3968.562496155918,FIFO,0.0155555555555555,0,variant_5
1108,SORTING,SORTING_ROBOT,3920.8264588679767,0.46059265554004014,4,37.360987587687305,74.92658176431587,15.307700629704868,20,3845.899877103661,3936.1341594976816,FIFO,0.0155555555555555,0,variant_13
1115,PACKAGING_3,PACKAGING_LINE_3,3920.909516223324,0.5436500108871769,5,0.5436500108871769,64.71247838288264,2.525149610549306,20,3856.197037840441,3923.434665833873,FIFO,0.0155555555555555,0,variant_1
1108,PACKAGING_1,PACKAGING_LINE_1,3921.5466566598025,0.7201977918257398,5,0.7201977918257398,75.64677955614161,14.587502837879128,20,3845.899877103661,3936.1341594976816,FIFO,0.0155555555555555,0,variant_13
1127,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3922.639855235701,6.676584965236998,2,6.676584965236998,6.676584965236998,80.12042257483517,20,3915.963270270464,4002.760277810536,FIFO,0.0155555555555555,0,variant_7
1131,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,3923.205057109588,2.676702965354707,2,2.676702965354707,2.676702965354707,45.35743904633,20,3920.528354144233,3968.562496155918,FIFO,0.0155555555555555,0,variant_5
1115,PACKAGING_3,PACKAGING_LINE_3,3923.434665833873,2.525149610549306,6,2.525149610549306,67.23762799343194,0.0,19,3856.197037840441,3923.434665833873,FIFO,0.0155555555555555,0,variant_1
1116,SORTING,SORTING_ROBOT,3924.3281263824106,3.501667514433848,4,34.71572259476352,65.36538403120176,2.1950502588092604,19,3858.962742351209,3926.52317664122,FIFO,0.0155555555555555,0,variant_6
1118,SORTING,SORTING_ROBOT,3925.00655647975,0.6784300973395148,4,34.07482439191108,54.57176900027889,3.989962597126123,19,3870.434787479471,3928.996519076876,FIFO,0.0155555555555555,0,variant_3
1116,PACKAGING_3,PACKAGING_LINE_3,3926.52317664122,2.1950502588092604,5,2.1950502588092604,67.56043429001102,0.0,18,3858.962742351209,3926.52317664122,FIFO,0.0155555555555555,0,variant_6
1130,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3927.802685596511,5.162830360809949,2,11.06161821689102,11.06161821689102,41.67990373422526,18,3916.74106737962,3969.482589330736,FIFO,0.0155555555555555,0,variant_4
1118,PACKAGING_2,PACKAGING_LINE_2,3928.996519076876,3.989962597126123,5,3.989962597126123,58.561731597405014,0.0,17,3870.434787479471,3928.996519076876,FIFO,0.0155555555555555,0,variant_3
